"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Создание с id, name, photoUrls + проверка через GET","21","Создание питомца с минимальными полями","tests.petstore-api","Mon Mar 02 11:49:20 UTC 2026","passed","Mon Mar 02 11:49:20 UTC 2026","","test_about_pet","",""
"Проверка POST запроса и последующего GET запроса на соответствие полей","21","Тест создания питомца со статусом: sold","tests.petstore-api","Mon Mar 02 11:49:20 UTC 2026","passed","Mon Mar 02 11:49:20 UTC 2026","","test_about_pet","",""
"Проверка POST запроса и последующего GET запроса на соответствие полей","21","Тест создания питомца со статусом: available","tests.petstore-api","Mon Mar 02 11:49:20 UTC 2026","passed","Mon Mar 02 11:49:20 UTC 2026","","test_about_pet","",""
"Проверка POST запроса и последующего GET запроса на соответствие полей","21","Тест создания питомца со статусом: pending","tests.petstore-api","Mon Mar 02 11:49:20 UTC 2026","passed","Mon Mar 02 11:49:20 UTC 2026","","test_about_pet","",""
